"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"give"	328	107	10	"give"	259
"smiled"	328	103	9	"smiled"	260
"town"	327	62	9	"town"	261
"without"	326	104	10	"without"	262
"toward"	324	89	7	"toward"	263
"against"	320	106	10	"against"	264
"closed"	319	105	10	"closed"	265
"under"	318	106	9	"under"	266
"held"	317	105	10	"held"	267
"feet"	315	99	10	"feet"	268
"bed"	314	82	9	"bed"	269
"far"	314	110	10	"far"	270
"moment"	314	103	10	"moment"	271
"high"	313	103	10	"high"	272
"must"	313	113	10	"must"	273
"men"	308	82	10	"men"	274
"wondered"	308	108	10	"wondered"	275
"sky"	307	94	10	"sky"	276
"coming"	306	105	10	"coming"	277
"tree"	306	66	8	"tree"	278
"pushed"	304	104	10	"pushed"	279
"sure"	303	93	10	"sure"	280
"nodded"	302	86	10	"nodded"	281
"done"	300	98	8	"done"	282
"morning"	300	100	10	"morning"	283
"green"	299	96	10	"green"	284
"ran"	298	107	10	"ran"	285
"although"	297	104	10	"although"	286
"perhaps"	296	106	10	"perhaps"	287
"there's"	295	91	10	"there's"	288
"remember"	294	87	9	"remember"	289
"those"	293	99	10	"those"	290
"keep"	292	100	10	"keep"	291
"blood"	291	89	9	"blood"	292
"marquis"	291	17	2	"marquis"	293
"most"	291	97	10	"most"	294
"walk"	291	93	10	"walk"	295
"hard"	290	105	10	"hard"	296
"can't"	289	95	10	"can't"	297
"i've"	289	93	10	"i've"	298
"new"	289	89	10	"new"	299
"brown"	288	91	9	"brown"	300
"days"	287	92	10	"days"	301
"table"	286	74	10	"table"	302
"talk"	286	82	10	"talk"	303
"feel"	285	100	10	"feel"	304
"large"	285	93	10	"large"	305
"many"	285	96	10	"many"	306
"half"	284	100	10	"half"	307
"road"	281	75	9	"road"	308
"top"	281	100	10	"top"	309
"between"	277	101	10	"between"	310
"both"	277	99	10	"both"	311
"gave"	277	93	10	"gave"	312
"lips"	273	88	9	"lips"	313
"mind"	273	98	10	"mind"	314
"several"	273	90	10	"several"	315
"mean"	272	89	10	"mean"	316
"above"	269	97	10	"above"	317
"best"	269	98	10	"best"	318
"cat"	269	60	8	"cat"	319
"longer"	269	103	10	"longer"	320
"real"	269	93	9	"real"	321
"says"	269	62	9	"says"	322
"else"	266	99	10	"else"	323
"picked"	265	101	10	"picked"	324
"hear"	264	98	10	"hear"	325
"oh"	262	93	10	"oh"	326
"gray"	260	77	6	"gray"	327
"odd"	260	54	10	"odd"	328
"doing"	257	88	10	"doing"	329
"filled"	257	90	10	"filled"	330
"maybe"	257	75	9	"maybe"	331
"call"	256	84	10	"call"	332
"fingers"	256	96	9	"fingers"	333
"miss"	254	54	8	"miss"	334
"darkness"	253	82	9	"darkness"	335
"sorry"	253	87	9	"sorry"	336
"hurt"	252	90	9	"hurt"	337
"shall"	252	73	10	"shall"	338
"these"	252	94	10	"these"	339
"grahame"	251	13	1	"grahame"	340
"fine"	249	95	10	"fine"	341
"believe"	247	75	10	"believe"	342
"she's"	247	73	10	"she's"	343
"standing"	247	96	10	"standing"	344
"heart"	246	92	9	"heart"	345
"empty"	245	92	9	"empty"	346
"floor"	245	90	9	"floor"	347
"few"	244	98	9	"few"	348
"smile"	244	91	10	"smile"	349
"window"	244	69	9	"window"	350
"blue"	243	92	10	"blue"	351
"already"	242	94	10	"already"	352
"leave"	242	95	10	"leave"	353
"lettie"	241	16	1	"lettie"	354
"coats"	240	20	5	"coats"	355
"ground"	240	86	10	"ground"	356
"walking"	240	93	10	"walking"	357
"wind"	239	83	10	"wind"	358
"bad"	237	84	10	"bad"	359
"glass"	237	71	8	"glass"	360
"mister"	237	47	8	"mister"	361
"silver"	237	79	10	"silver"	362
"tried"	237	91	9	"tried"	363
"stone"	236	75	10	"stone"	364
"certain"	234	98	10	"certain"	365
"work"	234	75	9	"work"	366
"five"	232	76	8	"five"	367
