"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"branched"	1	1	1	"branched"	16378
"brands"	1	1	1	"brands"	16379
"brandy"	1	1	1	"brandy"	16380
"branston"	1	1	1	"branston"	16381
"brash"	1	1	1	"brash"	16382
"brave.she"	1	1	1	"brave.she"	16383
"brawling"	1	1	1	"brawling"	16384
"bray"	1	1	1	"bray"	16385
"brazenly"	1	1	1	"brazenly"	16386
"bre'r"	1	1	1	"bre'r"	16387
"breadmaker"	1	1	1	"breadmaker"	16388
"breadmaking"	1	1	1	"breadmaking"	16389
"breads"	1	1	1	"breads"	16390
"break.silas"	1	1	1	"break.silas"	16391
"breaker"	1	1	1	"breaker"	16392
"breakfast.for"	1	1	1	"breakfast.for"	16393
"breakfast.they"	1	1	1	"breakfast.they"	16394
"breakfastless"	1	1	1	"breakfastless"	16395
"breaki"	1	1	1	"breaki"	16396
"breast.i"	1	1	1	"breast.i"	16397
"breast.then"	1	1	1	"breast.then"	16398
"breastfeeding"	1	1	1	"breastfeeding"	16399
"breasts.she"	1	1	1	"breasts.she"	16400
"breaststhe"	1	1	1	"breaststhe"	16401
"breath.a"	1	1	1	"breath.a"	16402
"breath.all"	1	1	1	"breath.all"	16403
"breath.an"	1	1	1	"breath.an"	16404
"breath.he"	1	1	1	"breath.he"	16405
"breath.they"	1	1	1	"breath.they"	16406
"breathe.their"	1	1	1	"breathe.their"	16407
"breathes"	1	1	1	"breathes"	16408
"breathing.a"	1	1	1	"breathing.a"	16409
"breathlessly"	1	1	1	"breathlessly"	16410
"breep"	1	1	1	"breep"	16411
"breeze.he"	1	1	1	"breeze.he"	16412
"breezily"	1	1	1	"breezily"	16413
"brenda"	1	1	1	"brenda"	16414
"brevis's"	1	1	1	"brevis's"	16415
"breweries"	1	1	1	"breweries"	16416
"brewers"	1	1	1	"brewers"	16417
"brewery"	1	1	1	"brewery"	16418
"bribe"	1	1	1	"bribe"	16419
"bribes"	1	1	1	"bribes"	16420
"bribing"	1	1	1	"bribing"	16421
"brick's"	1	1	1	"brick's"	16422
"bricked"	1	1	1	"bricked"	16423
"bricks.coraline"	1	1	1	"bricks.coraline"	16424
"bricks.she"	1	1	1	"bricks.she"	16425
"brickwork.and"	1	1	1	"brickwork.and"	16426
"bridal"	1	1	1	"bridal"	16427
"bridesmaid"	1	1	1	"bridesmaid"	16428
"bridge.a"	1	1	1	"bridge.a"	16429
"bridge.anaesthesia"	1	1	1	"bridge.anaesthesia"	16430
"bridge.her"	1	1	1	"bridge.her"	16431
"bridge.hunter"	1	1	1	"bridge.hunter"	16432
"bridge.it"	1	1	1	"bridge.it"	16433
"bridge.oh"	1	1	1	"bridge.oh"	16434
"bridge.the"	1	1	1	"bridge.the"	16435
"bridged"	1	1	1	"bridged"	16436
"bridgethis"	1	1	1	"bridgethis"	16437
"bridled"	1	1	1	"bridled"	16438
"brie"	1	1	1	"brie"	16439
"briefcase.he"	1	1	1	"briefcase.he"	16440
"briefing"	1	1	1	"briefing"	16441
"brightening"	1	1	1	"brightening"	16442
"brightens"	1	1	1	"brightens"	16443
"brigid"	1	1	1	"brigid"	16444
"brim"	1	1	1	"brim"	16445
"bristly"	1	1	1	"bristly"	16446
"bristol"	1	1	1	"bristol"	16447
"britches.she"	1	1	1	"britches.she"	16448
"brite"	1	1	1	"brite"	16449
"britons"	1	1	1	"britons"	16450
"brixton"	1	1	1	"brixton"	16451
"broadest"	1	1	1	"broadest"	16452
"brocade"	1	1	1	"brocade"	16453
"brogan's"	1	1	1	"brogan's"	16454
"brogue"	1	1	1	"brogue"	16455
"broken.he"	1	1	1	"broken.he"	16456
"brokenhearted"	1	1	1	"brokenhearted"	16457
"brokenhearted.she"	1	1	1	"brokenhearted.she"	16458
"bronchial"	1	1	1	"bronchial"	16459
"brooch.hish"	1	1	1	"brooch.hish"	16460
"brooches"	1	1	1	"brooches"	16461
"brooches.spring"	1	1	1	"brooches.spring"	16462
"brook.he"	1	1	1	"brook.he"	16463
"broom.chink.she"	1	1	1	"broom.chink.she"	16464
"brooms"	1	1	1	"brooms"	16465
"broomstick.bod's"	1	1	1	"broomstick.bod's"	16466
"bros"	1	1	1	"bros"	16467
"broth"	1	1	1	"broth"	16468
"brother.gordon"	1	1	1	"brother.gordon"	16469
"brother.the"	1	1	1	"brother.the"	16470
"browed"	1	1	1	"browed"	16471
"brownie"	1	1	1	"brownie"	16472
"browns"	1	1	1	"browns"	16473
"brownstones"	1	1	1	"brownstones"	16474
"brows"	1	1	1	"brows"	16475
"browse"	1	1	1	"browse"	16476
"browsed"	1	1	1	"browsed"	16477
"brr"	1	1	1	"brr"	16478
"brrr"	1	1	1	"brrr"	16479
"brrrr"	1	1	1	"brrrr"	16480
"bruised.spider"	1	1	1	"bruised.spider"	16481
"bruises.he"	1	1	1	"bruises.he"	16482
"bruising"	1	1	1	"bruising"	16483
"brummel"	1	1	1	"brummel"	16484
"brunching"	1	1	1	"brunching"	16485
"brunette's"	1	1	1	"brunette's"	16486
"brung"	1	1	1	"brung"	16487
"brushless"	1	1	1	"brushless"	16488
"brusque"	1	1	1	"brusque"	16489
"brusquely"	1	1	1	"brusquely"	16490
"brussels"	1	1	1	"brussels"	16491
"bubble.and"	1	1	1	"bubble.and"	16492
"bucca"	1	1	1	"bucca"	16493
"buck's"	1	1	1	"buck's"	16494
"bucked"	1	1	1	"bucked"	16495
"bucketloads"	1	1	1	"bucketloads"	16496
"bucking"	1	1	1	"bucking"	16497
"buckled"	1	1	1	"buckled"	16498
"buckskins"	1	1	1	"buckskins"	16499
"bucolic"	1	1	1	"bucolic"	16500
"buddhists"	1	1	1	"buddhists"	16501
"buddies.i'd"	1	1	1	"buddies.i'd"	16502
"buddy"	1	1	1	"buddy"	16503
"buddy's"	1	1	1	"buddy's"	16504
"budge"	1	1	1	"budge"	16505
"budgetary"	1	1	1	"budgetary"	16506
"buds"	1	1	1	"buds"	16507
"buffalo's"	1	1	1	"buffalo's"	16508
"buffer"	1	1	1	"buffer"	16509
"buffeting"	1	1	1	"buffeting"	16510
"bufotenin"	1	1	1	"bufotenin"	16511
"bugfuck"	1	1	1	"bugfuck"	16512
"bugle"	1	1	1	"bugle"	16513
"bugsin.that"	1	1	1	"bugsin.that"	16514
"builder's"	1	1	1	"builder's"	16515
"building.coraline"	1	1	1	"building.coraline"	16516
"building.rosie's"	1	1	1	"building.rosie's"	16517
"building.she"	1	1	1	"building.she"	16518
"building.sitting"	1	1	1	"building.sitting"	16519
"building.there"	1	1	1	"building.there"	16520
"bulbous"	1	1	1	"bulbous"	16521
"bulged"	1	1	1	"bulged"	16522
"bulkier"	1	1	1	"bulkier"	16523
"bulldog's"	1	1	1	"bulldog's"	16524
"bullies"	1	1	1	"bullies"	16525
"bully"	1	1	1	"bully"	16526
"bulrush"	1	1	1	"bulrush"	16527
"bumblebees"	1	1	1	"bumblebees"	16528
"bumbling"	1	1	1	"bumbling"	16529
"bummed"	1	1	1	"bummed"	16530
"bumpily"	1	1	1	"bumpily"	16531
"bumpkin"	1	1	1	"bumpkin"	16532
"bumpkin's"	1	1	1	"bumpkin's"	16533
"bumps"	1	1	1	"bumps"	16534
"bumpy"	1	1	1	"bumpy"	16535
"bums"	1	1	1	"bums"	16536
"bunching"	1	1	1	"bunching"	16537
"bundles"	1	1	1	"bundles"	16538
"bungee"	1	1	1	"bungee"	16539
"bunked"	1	1	1	"bunked"	16540
"bunny"	1	1	1	"bunny"	16541
"bunsen"	1	1	1	"bunsen"	16542
"buoyed"	1	1	1	"buoyed"	16543
"burble"	1	1	1	"burble"	16544
"burbled"	1	1	1	"burbled"	16545
"bureau"	1	1	1	"bureau"	16546
"burghers"	1	1	1	"burghers"	16547
"burglars"	1	1	1	"burglars"	16548
"buried.still"	1	1	1	"buried.still"	16549
"burn.he"	1	1	1	"burn.he"	16550
"burn.when"	1	1	1	"burn.when"	16551
"burnded"	1	1	1	"burnded"	16552
"burned.varney"	1	1	1	"burned.varney"	16553
"burners"	1	1	1	"burners"	16554
"burning.miss"	1	1	1	"burning.miss"	16555
"burnous"	1	1	1	"burnous"	16556
"burns.he"	1	1	1	"burns.he"	16557
"burping"	1	1	1	"burping"	16558
"burr"	1	1	1	"burr"	16559
"burridges"	1	1	1	"burridges"	16560
"burrs"	1	1	1	"burrs"	16561
"burt"	1	1	1	"burt"	16562
"buryin"	1	1	1	"buryin"	16563
"bush.septimus"	1	1	1	"bush.septimus"	16564
"bushel"	1	1	1	"bushel"	16565
"bushels"	1	1	1	"bushels"	16566
"bushes.then"	1	1	1	"bushes.then"	16567
"bushy"	1	1	1	"bushy"	16568
"busied"	1	1	1	"busied"	16569
"business.things"	1	1	1	"business.things"	16570
"businesses"	1	1	1	"businesses"	16571
"businessmen"	1	1	1	"businessmen"	16572
"bustiest"	1	1	1	"bustiest"	16573
"busting"	1	1	1	"busting"	16574
"busts"	1	1	1	"busts"	16575
"busybody"	1	1	1	"busybody"	16576
"bute's"	1	1	1	"bute's"	16577
"buts"	1	1	1	"buts"	16578
"butter.and"	1	1	1	"butter.and"	16579
"butter.on"	1	1	1	"butter.on"	16580
"buttercups"	1	1	1	"buttercups"	16581
"butterfly.we"	1	1	1	"butterfly.we"	16582
"butterscotch"	1	1	1	"butterscotch"	16583
"butterworth's"	1	1	1	"butterworth's"	16584
"buttery"	1	1	1	"buttery"	16585
"buttocks"	1	1	1	"buttocks"	16586
"buttonholes"	1	1	1	"buttonholes"	16587
"buttressed"	1	1	1	"buttressed"	16588
"buxom"	1	1	1	"buxom"	16589
"buyers"	1	1	1	"buyers"	16590
"buzzards"	1	1	1	"buzzards"	16591
"buzzed.here"	1	1	1	"buzzed.here"	16592
"buzzie"	1	1	1	"buzzie"	16593
"bye.i"	1	1	1	"bye.i"	16594
"bye.one"	1	1	1	"bye.one"	16595
"bye.that"	1	1	1	"bye.that"	16596
"bye.they"	1	1	1	"bye.they"	16597
"byres"	1	1	1	"byres"	16598
"bystanders"	1	1	1	"bystanders"	16599
"bëelzebub"	1	1	1	"bëelzebub"	16600
"bëelzebubzebubzebub"	1	1	1	"bëelzebubzebubzebub"	16601
"c.it"	1	1	1	"c.it"	16602
"cab.a"	1	1	1	"cab.a"	16603
"cabala.the"	1	1	1	"cabala.the"	16604
"cabalist"	1	1	1	"cabalist"	16605
"cabbages"	1	1	1	"cabbages"	16606
"cabbagey"	1	1	1	"cabbagey"	16607
"cabell"	1	1	1	"cabell"	16608
"cabell's"	1	1	1	"cabell's"	16609
"cabildo"	1	1	1	"cabildo"	16610
"cabinetmaker"	1	1	1	"cabinetmaker"	16611
"cabinetmaker's"	1	1	1	"cabinetmaker's"	16612
"cabinetmakers"	1	1	1	"cabinetmakers"	16613
"cabochon"	1	1	1	"cabochon"	16614
"cache"	1	1	1	"cache"	16615
"cackle"	1	1	1	"cackle"	16616
"cadging"	1	1	1	"cadging"	16617
"cadillac"	1	1	1	"cadillac"	16618
"cafés"	1	1	1	"cafés"	16619
"cagney"	1	1	1	"cagney"	16620
"cajoled"	1	1	1	"cajoled"	16621
"cajoling"	1	1	1	"cajoling"	16622
"cake.arent"	1	1	1	"cake.arent"	16623
"cake.at"	1	1	1	"cake.at"	16624
"cake.the"	1	1	1	"cake.the"	16625
"cake.there"	1	1	1	"cake.there"	16626
"calais"	1	1	1	"calais"	16627
"calamon"	1	1	1	"calamon"	16628
"calculations"	1	1	1	"calculations"	16629
"calculator"	1	1	1	"calculator"	16630
"calcutta"	1	1	1	"calcutta"	16631
"caledonia"	1	1	1	"caledonia"	16632
"calendars"	1	1	1	"calendars"	16633
"calf's"	1	1	1	"calf's"	16634
"calfskin"	1	1	1	"calfskin"	16635
"call.a"	1	1	1	"call.a"	16636
"call.but"	1	1	1	"call.but"	16637
"called.and"	1	1	1	"called.and"	16638
"called.he"	1	1	1	"called.he"	16639
"calligraphed"	1	1	1	"calligraphed"	16640
"callin"	1	1	1	"callin"	16641
"calliope"	1	1	1	"calliope"	16642
"callow"	1	1	1	"callow"	16643
"calloway"	1	1	1	"calloway"	16644
"callspoor"	1	1	1	"callspoor"	16645
"calm.time"	1	1	1	"calm.time"	16646
"calming"	1	1	1	"calming"	16647
"calms"	1	1	1	"calms"	16648
"camberwell's"	1	1	1	"camberwell's"	16649
"came.it"	1	1	1	"came.it"	16650
"came.they"	1	1	1	"came.they"	16651
"camel's"	1	1	1	"camel's"	16652
"camelot.at"	1	1	1	"camelot.at"	16653
"camels"	1	1	1	"camels"	16654
"camels.the"	1	1	1	"camels.the"	16655
"cameto"	1	1	1	"cameto"	16656
"camp.coraline"	1	1	1	"camp.coraline"	16657
"campfire"	1	1	1	"campfire"	16658
"camps"	1	1	1	"camps"	16659
"camry"	1	1	1	"camry"	16660
"camulodonum"	1	1	1	"camulodonum"	16661
"can.she"	1	1	1	"can.she"	16662
"can.the"	1	1	1	"can.the"	16663
"canadian"	1	1	1	"canadian"	16664
"canape"	1	1	1	"canape"	16665
"canapés"	1	1	1	"canapés"	16666
"cancelled"	1	1	1	"cancelled"	16667
"candid"	1	1	1	"candid"	16668
"candidates"	1	1	1	"candidates"	16669
"candle.nothing"	1	1	1	"candle.nothing"	16670
"candleholders"	1	1	1	"candleholders"	16671
"candlelight.she"	1	1	1	"candlelight.she"	16672
"candlelit"	1	1	1	"candlelit"	16673
"candles.door"	1	1	1	"candles.door"	16674
"candles.he"	1	1	1	"candles.he"	16675
"candles.her"	1	1	1	"candles.her"	16676
"candlestick.she"	1	1	1	"candlestick.she"	16677
"candlewax"	1	1	1	"candlewax"	16678
"canines"	1	1	1	"canines"	16679
"caning"	1	1	1	"caning"	16680
"cannibal"	1	1	1	"cannibal"	16681
"cannibals"	1	1	1	"cannibals"	16682
"cannon"	1	1	1	"cannon"	16683
"cannonade"	1	1	1	"cannonade"	16684
"cannonball"	1	1	1	"cannonball"	16685
"cannonballs"	1	1	1	"cannonballs"	16686
"cantrip"	1	1	1	"cantrip"	16687
"canyons"	1	1	1	"canyons"	16688
"caovillas"	1	1	1	"caovillas"	16689
"cap'n"	1	1	1	"cap'n"	16690
"capacious"	1	1	1	"capacious"	16691
"capacities"	1	1	1	"capacities"	16692
"capacity"	1	1	1	"capacity"	16693
"capital"	1	1	1	"capital"	16694
"capitalism"	1	1	1	"capitalism"	16695
"capped"	1	1	1	"capped"	16696
"captain's"	1	1	1	"captain's"	16697
"captains"	1	1	1	"captains"	16698
"captor's"	1	1	1	"captor's"	16699
"car.he"	1	1	1	"car.he"	16700
"car.on"	1	1	1	"car.on"	16701
"carabas'll"	1	1	1	"carabas'll"	16702
"caracole"	1	1	1	"caracole"	16703
"caracoled"	1	1	1	"caracoled"	16704
"carafe"	1	1	1	"carafe"	16705
"carafes"	1	1	1	"carafes"	16706
"caramels"	1	1	1	"caramels"	16707
"carat"	1	1	1	"carat"	16708
"caravanand"	1	1	1	"caravanand"	16709
"carbolic"	1	1	1	"carbolic"	16710
"carbon"	1	1	1	"carbon"	16711
"carbonated"	1	1	1	"carbonated"	16712
"carbuncle"	1	1	1	"carbuncle"	16713
"card.it's"	1	1	1	"card.it's"	16714
"cardamom"	1	1	1	"cardamom"	16715
"cardigan"	1	1	1	"cardigan"	16716
"cardigans"	1	1	1	"cardigans"	16717
"cardinals"	1	1	1	"cardinals"	16718
"care'st"	1	1	1	"care'st"	16719
"care.he"	1	1	1	"care.he"	16720
"care.his"	1	1	1	"care.his"	16721
"care.the"	1	1	1	"care.the"	16722
"care.there"	1	1	1	"care.there"	16723
"caretaker.the"	1	1	1	"caretaker.the"	16724
"caretakers"	1	1	1	"caretakers"	16725
"carful"	1	1	1	"carful"	16726
"caricaturists"	1	1	1	"caricaturists"	16727
"carla"	1	1	1	"carla"	16728
"carlisle"	1	1	1	"carlisle"	16729
"carlotta"	1	1	1	"carlotta"	16730
"carnaby"	1	1	1	"carnaby"	16731
"carnadine"	1	1	1	"carnadine"	16732
"carnal"	1	1	1	"carnal"	16733
"carnivore"	1	1	1	"carnivore"	16734
"carny"	1	1	1	"carny"	16735
"carolina"	1	1	1	"carolina"	16736
"carpenter"	1	1	1	"carpenter"	16737
"carpenters"	1	1	1	"carpenters"	16738
"carriage.it"	1	1	1	"carriage.it"	16739
"carriage.the"	1	1	1	"carriage.the"	16740
"carriages"	1	1	1	"carriages"	16741
"carriers"	1	1	1	"carriers"	16742
"carrying.the"	1	1	1	"carrying.the"	16743
"cars.daisy"	1	1	1	"cars.daisy"	16744
"cars.i"	1	1	1	"cars.i"	16745
"carstairs's"	1	1	1	"carstairs's"	16746
"carte"	1	1	1	"carte"	16747
"cartel"	1	1	1	"cartel"	16748
"cartels"	1	1	1	"cartels"	16749
"cartilage.she"	1	1	1	"cartilage.she"	16750
"cartoon.the"	1	1	1	"cartoon.the"	16751
"cartoonishly"	1	1	1	"cartoonishly"	16752
"carving.he"	1	1	1	"carving.he"	16753
"casanovas"	1	1	1	"casanovas"	16754
"case's"	1	1	1	"case's"	16755
"case.and"	1	1	1	"case.and"	16756
"case.i've"	1	1	1	"case.i've"	16757
"case.mrs"	1	1	1	"case.mrs"	16758
"cash.regan"	1	1	1	"cash.regan"	16759
"cashcard"	1	1	1	"cashcard"	16760
"cashier"	1	1	1	"cashier"	16761
"casino's"	1	1	1	"casino's"	16762
"casserole"	1	1	1	"casserole"	16763
"caste"	1	1	1	"caste"	16764
"casts"	1	1	1	"casts"	16765
"casualties"	1	1	1	"casualties"	16766
"catacombs"	1	1	1	"catacombs"	16767
"catalog"	1	1	1	"catalog"	16768
"catalogued"	1	1	1	"catalogued"	16769
"catalogues"	1	1	1	"catalogues"	16770
"cataracts"	1	1	1	"cataracts"	16771
"catastrophe"	1	1	1	"catastrophe"	16772
"catcher's"	1	1	1	"catcher's"	16773
"catchphrase"	1	1	1	"catchphrase"	16774
"catechism"	1	1	1	"catechism"	16775
"categorically"	1	1	1	"categorically"	16776
"categories"	1	1	1	"categories"	16777
"caterers"	1	1	1	"caterers"	16778
"catering"	1	1	1	"catering"	16779
"catfight"	1	1	1	"catfight"	16780
"catheterized"	1	1	1	"catheterized"	16781
"cathode"	1	1	1	"cathode"	16782
"catholics"	1	1	1	"catholics"	16783
"catkins"	1	1	1	"catkins"	16784
"catskills"	1	1	1	"catskills"	16785
"cattily"	1	1	1	"cattily"	16786
"catup"	1	1	1	"catup"	16787
"cauldrons"	1	1	1	"cauldrons"	16788
"causal"	1	1	1	"causal"	16789
"causes"	1	1	1	"causes"	16790
"cauterized"	1	1	1	"cauterized"	16791
"cautionary"	1	1	1	"cautionary"	16792
"cave.she"	1	1	1	"cave.she"	16793
"cave.something"	1	1	1	"cave.something"	16794
"cave.spider"	1	1	1	"cave.spider"	16795
"cave.the"	1	1	1	"cave.the"	16796
"caveman"	1	1	1	"caveman"	16797
"caves.the"	1	1	1	"caves.the"	16798
"caviar"	1	1	1	"caviar"	16799
"cavorting"	1	1	1	"cavorting"	16800
"caws"	1	1	1	"caws"	16801
"caymans"	1	1	1	"caymans"	16802
"cecilia"	1	1	1	"cecilia"	16803
"ceiling.coraline"	1	1	1	"ceiling.coraline"	16804
"ceiling.it"	1	1	1	"ceiling.it"	16805
"ceiling.they"	1	1	1	"ceiling.they"	16806
"ceilings"	1	1	1	"ceilings"	16807
"ceilings.if"	1	1	1	"ceilings.if"	16808
"celebrate.an"	1	1	1	"celebrate.an"	16809
"celerity"	1	1	1	"celerity"	16810
"celia"	1	1	1	"celia"	16811
"cell.he"	1	1	1	"cell.he"	16812
"cellar.he"	1	1	1	"cellar.he"	16813
"cellar.it"	1	1	1	"cellar.it"	16814
"cellar.mr"	1	1	1	"cellar.mr"	16815
"cellblock"	1	1	1	"cellblock"	16816
"cellos"	1	1	1	"cellos"	16817
"celluloid"	1	1	1	"celluloid"	16818
"celsius"	1	1	1	"celsius"	16819
"celtic"	1	1	1	"celtic"	16820
"cemeteries.it"	1	1	1	"cemeteries.it"	16821
"cemetery.where"	1	1	1	"cemetery.where"	16822
"censorship"	1	1	1	"censorship"	16823
"centennial"	1	1	1	"centennial"	16824
"centipede's"	1	1	1	"centipede's"	16825
"centralizing"	1	1	1	"centralizing"	16826
"centurion's"	1	1	1	"centurion's"	16827
"century.the"	1	1	1	"century.the"	16828
"cept"	1	1	1	"cept"	16829
"cerebrations"	1	1	1	"cerebrations"	16830
"ceremonies"	1	1	1	"ceremonies"	16831
"certain.fat"	1	1	1	"certain.fat"	16832
"certain.he"	1	1	1	"certain.he"	16833
"certain.rebooting"	1	1	1	"certain.rebooting"	16834
"certain.there"	1	1	1	"certain.there"	16835
"certainties"	1	1	1	"certainties"	16836
"cessation"	1	1	1	"cessation"	16837
"cesspit"	1	1	1	"cesspit"	16838
"cetera"	1	1	1	"cetera"	16839
"cga"	1	1	1	"cga"	16840
"chaffing"	1	1	1	"chaffing"	16841
"chain.he"	1	1	1	"chain.he"	16842
"chain.mr"	1	1	1	"chain.mr"	16843
"chaining"	1	1	1	"chaining"	16844
"chair.he"	1	1	1	"chair.he"	16845
"chair.there"	1	1	1	"chair.there"	16846
"chaise"	1	1	1	"chaise"	16847
"chalice"	1	1	1	"chalice"	16848
"chalky"	1	1	1	"chalky"	16849
"challenged"	1	1	1	"challenged"	16850
"challenger"	1	1	1	"challenger"	16851
"chamber.but"	1	1	1	"chamber.but"	16852
"chamber.i"	1	1	1	"chamber.i"	16853
"chamber.the"	1	1	1	"chamber.the"	16854
"chamber.they"	1	1	1	"chamber.they"	16855
"champagne.clarence"	1	1	1	"champagne.clarence"	16856
"champagne.mr"	1	1	1	"champagne.mr"	16857
"champions"	1	1	1	"champions"	16858
"championship"	1	1	1	"championship"	16859
"chance.the"	1	1	1	"chance.the"	16860
"chances"	1	1	1	"chances"	16861
"chandler's"	1	1	1	"chandler's"	16862
"chandlers"	1	1	1	"chandlers"	16863
"chanel"	1	1	1	"chanel"	16864
"change.at"	1	1	1	"change.at"	16865
"change.janice"	1	1	1	"change.janice"	16866
"change.meat"	1	1	1	"change.meat"	16867
"change.the"	1	1	1	"change.the"	16868
"changeability"	1	1	1	"changeability"	16869
"changed.the"	1	1	1	"changed.the"	16870
"changei"	1	1	1	"changei"	16871
"changer"	1	1	1	"changer"	16872
"changing.bod"	1	1	1	"changing.bod"	16873
"changing.he"	1	1	1	"changing.he"	16874
"channel.it"	1	1	1	"channel.it"	16875
"chapbooks"	1	1	1	"chapbooks"	16876
"chapel.bod"	1	1	1	"chapel.bod"	16877
"chapel.the"	1	1	1	"chapel.the"	16878
"chaperone"	1	1	1	"chaperone"	16879
"chaplain's"	1	1	1	"chaplain's"	16880
"chaplain.the"	1	1	1	"chaplain.the"	16881
"chapped"	1	1	1	"chapped"	16882
"char"	1	1	1	"char"	16883
"charades"	1	1	1	"charades"	16884
"charged.and"	1	1	1	"charged.and"	16885
"charged.he"	1	1	1	"charged.he"	16886
"charged.hunter"	1	1	1	"charged.hunter"	16887
"charger"	1	1	1	"charger"	16888
"charges"	1	1	1	"charges"	16889
"chariot.something"	1	1	1	"chariot.something"	16890
"chariotit"	1	1	1	"chariotit"	16891
"charismatic"	1	1	1	"charismatic"	16892
"charity.the"	1	1	1	"charity.the"	16893
"charleston"	1	1	1	"charleston"	16894
"charlie.as"	1	1	1	"charlie.as"	16895
"charlie.benjamin"	1	1	1	"charlie.benjamin"	16896
"charlie.from"	1	1	1	"charlie.from"	16897
"charlie.monkey"	1	1	1	"charlie.monkey"	16898
"charlie.she"	1	1	1	"charlie.she"	16899
"charlie.they"	1	1	1	"charlie.they"	16900
"charlotte.charlotte"	1	1	1	"charlotte.charlotte"	16901
"charlotte.she"	1	1	1	"charlotte.she"	16902
"charmless"	1	1	1	"charmless"	16903
"charnel"	1	1	1	"charnel"	16904
"charring"	1	1	1	"charring"	16905
"chart"	1	1	1	"chart"	16906
"chartering"	1	1	1	"chartering"	16907
"chasin"	1	1	1	"chasin"	16908
"chateau"	1	1	1	"chateau"	16909
"chatted"	1	1	1	"chatted"	16910
"chatted.the"	1	1	1	"chatted.the"	16911
"chatter"	1	1	1	"chatter"	16912
"chattily"	1	1	1	"chattily"	16913
"chattotonoogee"	1	1	1	"chattotonoogee"	16914
"chaz"	1	1	1	"chaz"	16915
"chazzer"	1	1	1	"chazzer"	16916
"cheaply"	1	1	1	"cheaply"	16917
"cheapness"	1	1	1	"cheapness"	16918
"cheapskate"	1	1	1	"cheapskate"	16919
"cheapskates"	1	1	1	"cheapskates"	16920
"check.it"	1	1	1	"check.it"	16921
"check.when"	1	1	1	"check.when"	16922
"checkbook"	1	1	1	"checkbook"	16923
"checklist"	1	1	1	"checklist"	16924
"checkpoints"	1	1	1	"checkpoints"	16925
"checkup"	1	1	1	"checkup"	16926
"cheddar"	1	1	1	"cheddar"	16927
"chee"	1	1	1	"chee"	16928
"cheek.a"	1	1	1	"cheek.a"	16929
"cheek.and"	1	1	1	"cheek.and"	16930
"cheek.i"	1	1	1	"cheek.i"	16931
"cheek.remember"	1	1	1	"cheek.remember"	16932
"cheek.the"	1	1	1	"cheek.the"	16933
"cheekbone"	1	1	1	"cheekbone"	16934
"cheekbones"	1	1	1	"cheekbones"	16935
"cheeking"	1	1	1	"cheeking"	16936
"cheeks.the"	1	1	1	"cheeks.the"	16937
"cheeks.when"	1	1	1	"cheeks.when"	16938
"cheeping"	1	1	1	"cheeping"	16939
"cheered.my"	1	1	1	"cheered.my"	16940
"cheerfully.a"	1	1	1	"cheerfully.a"	16941
"cheerlessly"	1	1	1	"cheerlessly"	16942
"cheery"	1	1	1	"cheery"	16943
"cheeseburgers"	1	1	1	"cheeseburgers"	16944
"cheesecake"	1	1	1	"cheesecake"	16945
"cheesy"	1	1	1	"cheesy"	16946
"cheetah"	1	1	1	"cheetah"	16947
"chef's"	1	1	1	"chef's"	16948
"chefs"	1	1	1	"chefs"	16949
"chemist's"	1	1	1	"chemist's"	16950
"cherryvale"	1	1	1	"cherryvale"	16951
"cherrywood"	1	1	1	"cherrywood"	16952
"cheshire"	1	1	1	"cheshire"	16953
"chest.fat"	1	1	1	"chest.fat"	16954
"chest.on"	1	1	1	"chest.on"	16955
"chest.silence"	1	1	1	"chest.silence"	16956
"chest.white"	1	1	1	"chest.white"	16957
"chestertonif"	1	1	1	"chestertonif"	16958
"chestnut's"	1	1	1	"chestnut's"	16959
"chestuntil"	1	1	1	"chestuntil"	16960
"chevalier"	1	1	1	"chevalier"	16961
"chew.the"	1	1	1	"chew.the"	16962
"chickasaw"	1	1	1	"chickasaw"	16963
"chicken.fat"	1	1	1	"chicken.fat"	16964
"chicks"	1	1	1	"chicks"	16965
"chide"	1	1	1	"chide"	16966
"chides"	1	1	1	"chides"	16967
"chiding"	1	1	1	"chiding"	16968
"child.i"	1	1	1	"child.i"	16969
"child.the"	1	1	1	"child.the"	16970
"child.this"	1	1	1	"child.this"	16971
"childhood.i"	1	1	1	"childhood.i"	16972
"childminders"	1	1	1	"childminders"	16973
"children.and"	1	1	1	"children.and"	16974
"children.dunnikin"	1	1	1	"children.dunnikin"	16975
"children.today"	1	1	1	"children.today"	16976
"chill's"	1	1	1	"chill's"	16977
"chill.i'll"	1	1	1	"chill.i'll"	16978
"chilliest"	1	1	1	"chilliest"	16979
"chimp"	1	1	1	"chimp"	16980
"chimps"	1	1	1	"chimps"	16981
"chin.morris"	1	1	1	"chin.morris"	16982
"china.night"	1	1	1	"china.night"	16983
"china.we"	1	1	1	"china.we"	16984
"chinatown"	1	1	1	"chinatown"	16985
"chinked"	1	1	1	"chinked"	16986
"chinkled"	1	1	1	"chinkled"	16987
"chinkling"	1	1	1	"chinkling"	16988
"chipmunk"	1	1	1	"chipmunk"	16989
"chippie"	1	1	1	"chippie"	16990
"chips.a"	1	1	1	"chips.a"	16991
"chips.he"	1	1	1	"chips.he"	16992
